Age,Gender,City,Seniority level,Position ,Total years of experience,Yearly salary,Number of vacation days,Main language at work,Company type,Contract,Year
21,Male,Nizhny Novgorod ,Junior,Mobile Developer,1,6000,30,Russian,Outsource,Temporary contract,2019
27,Male,Hamburg,Middle,Backend Developer,3,10001,24,English,Consulting / Agency,Temporary contract,2020
22,Male,Istanbul,Middle,Backend Developer,3,10001,0,English,Startup,unlimited,2020
24,Male,Aachen,Junior,HiWi,3,10164,14,English,University,Temporary contract,2020
27,Male,Bucharest,Junior,QA Engineer,1,11000,24,English,Others,unlimited,2020
24,Male,Berlin,Junior,ML Engineer,0.8,11500,24,English,Consulting / Agency,Temporary contract,2020
30,Male,Samara,Middle,Backend Developer,2,12000,24,English,Others,unlimited,2020
25,Female,Hamburg,Student,working student (QA),1,12000,12,English,Product,Temporary contract,2020
30,Male,Moscow,Middle,Backend Developer,2,13000,28,Russian,Startup,unlimited,2020
32,Female,Riga,Junior,Backend Developer,1,13200,20,English,Consulting / Agency,unlimited,2019
28,Male,Gdańsk,Middle,Data Scientist,5,14000,25,English,Bodyshop / Outsource,unlimited,2019
20,Male,Kyiv,Junior,Machine Learning Engineer,1,14400,20,Russian,Startup,unlimited,2019
24,Male,Berlin,Working Student,Backend Developer,1,14400,24,German,Startup,Temporary contract,2020
30,Male,Moscow,Middle,Software Engineer,5,14712,30,Russian,Product,unlimited,2020
21,Male,Saint-Petersburg ,Middle,Backend Developer,1,15600,28,Russian,Bodyshop / Outsource,Temporary contract,2019
24,Female,Munich,student,Software Engineer,1,16320,10,English,Startup,unlimited,2020
27,Female,Lisbon,Middle,Backend Developer,3,17500,22,English,Consulting / Agency,unlimited,2020
29,Male,Cracovia,Middle,Frontend Developer,2,18700,22,Polish,Product,unlimited,2020
31,Male,Stuttgart,Senior,Data Engineer,3,20000,24,Russian,Bodyshop / Outsource,Temporary contract,2019
31,Male,Moscow,Lead,Data Scientist,2.5,20000,30,Russian,Bank,unlimited,2020
29,Female,Berlin,intern,Data Scientist,0,20000,25,English,Product,Temporary contract,2020
26,Male,Saint-Petersburg,Middle,Project Manager,5,20000,24,Russian,Product,unlimited,2020
26,Male,Saint-Petersburg,Middle,Project Manager,5,20000,24,Russian,Product,unlimited,2020
26,Male,Lisbon,Middle,Software Engineer,4,21000,22,English,Product,unlimited,2020
27,Male,Prague,Middle,Software Engineer,3,21120,21,Czech,Product,Temporary contract,2020
30,Male,Vienna,Junior,Frontend Developer,2,21600,25,English,Startup,unlimited,2019
22,Male,Kyiv,Junior,Data Scientist,1,21600,24,Ukrainian,Product,unlimited,2019
39,Male,Warsaw,Senior,Researcher,15,22000,26,English,Product,unlimited,2019
29,Male,Barcelona,Junior,Data Scientist,0,22000,22,English,Product,unlimited,2020
25,Female,Tampere (Finland),Junior,computer vision researcher,3,23000,30,English,Science Institute ,Temporary contract,2020
18,Female,Marburg,Junior,Fullstack Developer,0,23500,30,Deutsch,Product,Temporary contract,2019
25,Male,Moscow,Middle,Frontend Developer,3,24000,40,Russian,Product,unlimited,2019
27,Male,Berlin,Head,"CTO (CEO, CFO)",6,24000,4,English,Startup,unlimited,2019
26,Male,"Riga, Latvia",Middle,Software Engineer,4,24000,20,English,Consulting / Agency,unlimited,2020
22,Female,Eindhoven,Junior,Frontend Developer,2,24000,24,English,Product,unlimited,2020
26,Male,Berlin,Junior,Backend Developer,2,25000,24,German,Product,unlimited,2020
28,Male,Frankfurt,Lead,XR Developer,8,25000,1,English,Startup,Temporary contract,2020
27,Male,Rome,Junior,Data Scientist,2,25300,24,Italian,Consulting / Agency,Temporary contract,2020
33,Male,Frankfurt,Senior,Software Engineer,10,26400,24,English,Startup,unlimited,2020
22,Male,Warsaw,Middle,Backend Developer,3,27000,21,Polish,Consulting / Agency,unlimited,2020
30,Male,Kiev,Middle,Backend Developer,8,27000,21,Русский,Product,Temporary contract,2020
28,Male,Moscow,Lead,Fullstack Developer,6,27977,24,Russian,Product,unlimited,2019
28,Male,Moldova,Middle,Backend Developer,4,28000,24,English,Startup,unlimited,2020
21,Male,Moscow,Middle,Data Scientist,4,28300,28,English,Consulting / Agency,Temporary contract,2019
